"Exercise 1 - dictionary and masu forms","This lesson is about converting the dictionary form of known verbs from their dictionary form into the masu form. Please give the user some example verbs in the dictionary form and verify if they correctly convert them into the masu form"
"Exercise 2 - dictionary and informal past forms","This lesson is about converting the dictionary form of known verbs from their dictionary form into the informal past form. Please give the user some example verbs in the dictionary form and verify if they correctly convert them into the informal past form"
"Exercise 3 - masu and informal past and present forms - sentences","This lesson is about using the masu and informal forms in present and past. Please give the user some example sentences in one form, ask to convert and verify if they converted it correctly"
"Exercise 4 - i-adjectives in present-future","This lesson is about creating various forms of i-adjectives in the present-future time (formal and informal, positive and negative)"
"Exercise 5 - i-adjectives in past","This lesson is about creating various forms of i-adjectives in the past time (formal and informal, positive and negative)"
"Exercise 6 - relative location","This lesson is about using relative locations, e.g., 右, 左, 前, 後ろ, 中, 上, 下, そば, となり, 間. Please create some sample sentences and ask user to properly translate them into Japanese using the location descriptons"
"Exercise 7 - na-anjectives in present-future","This lesson is about creating various forms of na-adjectives in the present-future time (formal and informal, positive and negative)"
"Exercise 8 - na-adjectives in past","This lesson is about creating various forms of na-adjectives in the past time (formal and informal, positive and negative)"
"Exercise 9 - adjectives (formal)","This lesson is about using i-adjectives and na-adjectives in various configurations in past and present tense. Ask the user to translate some sentences, make sure you cover tricky cases"
"Exercise 10 - しましょう form (let's)","This lesson is about practicing the しましょう form. Ask user to create this form from example verbs or to translate some sentences"
"Exercise 11 - どんな - sentences","Ask user to create some questions using どんな and then to answer them"
"Exercise 12 - counters: ~つ, ~枚, ~人","Practice the use of ~つ, ~枚, ~人 counters with the user by asking them to translate some sentences. Please focus only on counters mentioned, other are covered in different lessons."
"Exercise 13 - counters: ~本, ~杯, ~匹","Practice the use of ~本, ~杯, ~匹 counters with the user by asking them to translate some sentences. Please focus only on counters mentioned, other are covered in different lessons. "
"Exercise 14 - counters: ~軒, ~個, ~冊","Practice the use of ~軒, ~個, ~冊 counters with the user by asking them to translate some sentences. Please focus only on counters mentioned, other are covered in different lessons. "
"Exercise 16 - ~て form for formal and informal requests","This exercise is about using the ~て form to make formal requests. Ask the user to translate some sentences."
"Exercise 17 - ~て form for asking permission and denying","This exercise is about using the ~て form to ask for permission and potentially denying permission (~てもいいですか/ーてはいけません). Come up with some examples to practice."
"Exercise 18 - ~て form for joining sentences","This exercise is about using the ~て form to join sentences, also with i-adjectives, na-adjectives and nouns"
"Exercise 19 - しましょか form (let me)","Ask user to compose some sentences or translate some sentences that use the しましょか form to offer assistance"
"Exercise 20 - dates, hours, minutes","Practice with the user usage of dates, months, days of months, days of weeks, hours and minutes in configurations that indicate some hour or a period"
"Exercise 21 - から, explaining reason","Practice with the user usage of から particle by explaining reasons (two sentences, second ending with から). Mix the formal/informal mode and future-present/past tenses"
"Exercise 22 - ~く/~に, creating adverbs from い-adjectives and な-adjectives","Practice with the user converting known い-adjectives and な-adjectives into adverbs"
"Exercise 23 - い-adjectives and な-adjectives negation","Practice with the user negating known い-adjectives and な-adjectives. Mix the formal/informal mode and future-present/past tenses"
